date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:33	146998/146998	---M--	200	added ('OK')	application/javascript	etag:%220e5eb5020cd31:0%22	https://reports.suburbandiagnostics.com/ScanMe/Scripts/kendo/2017.2.621/angular.min.js	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Scripts/kendo/2017.2.621/angular.min.js	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:33	80025/80025	---M--	200	added ('OK')	application/javascript	etag:%220e5eb5020cd31:0%22	https://reports.suburbandiagnostics.com/ScanMe/Scripts/kendo/2017.2.621/jszip.min.js	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Scripts/kendo/2017.2.621/jszip.min.js	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:34	16085/16085	---M--	200	added ('OK')	application/javascript	etag:%220e5eb5020cd31:0%22	https://reports.suburbandiagnostics.com/ScanMe/Scripts/kendo/2017.2.621/kendo.aspnetmvc.min.js	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Scripts/kendo/2017.2.621/kendo.aspnetmvc.min.js	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:34	3038548/3038548	---M--	200	added ('OK')	application/javascript	etag:%220e5eb5020cd31:0%22	https://reports.suburbandiagnostics.com/ScanMe/Scripts/kendo/2017.2.621/kendo.all.min.js	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Scripts/kendo/2017.2.621/kendo.all.min.js	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:35	436715/436715	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1/jquery-ui.js	D:/betu/WinHTTrack/trial/ajax.googleapis.com/ajax/libs/jqueryui/1/jquery-ui.js	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:35	4109/4109	---M--	200	added ('OK')	application/javascript	etag:%220fde01b111bd31:0%22	https://reports.suburbandiagnostics.com/ScanMe/Scripts/jquery.notify.js	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Scripts/jquery.notify.js	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:36	18278/18278	---M--	200	added ('OK')	application/javascript	etag:%220e5eb5020cd31:0%22	https://reports.suburbandiagnostics.com/ScanMe/Scripts/run_prettify.js	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Scripts/run_prettify.js	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:36	26711/26711	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	D:/betu/WinHTTrack/trial/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:36	25286/25286	---M--	200	added ('OK')	text/css	etag:%2209149a3392d61:0%22	https://reports.suburbandiagnostics.com/ScanMe/Content/suburban-common.css	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Content/suburban-common.css	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
19:50:37	19804/19804	---M--	200	added ('OK')	text/css	etag:%2201922fb8b1d61:0%22	https://reports.suburbandiagnostics.com/ScanMe/Content/dashboard_style.css	D:/betu/WinHTTrack/trial/reports.suburbandiagnostics.com/ScanMe/Content/dashboard_style.css	(from https://reports.suburbandiagnostics.com/scanme/Patient/Reports?p=hYjUMDbCqgWHaBd5dAQas3jM4216yL1f6Dm2F1ocFkc=&t=21c/QAN/sulioueQNsAOaH6GYrKpeiGzgkAGF7z6gAc=&c=OnvHk5q6qsc+a/AMVB7NXA==&f=BT/RTTLwXzBF+NQ7FQkdxA==)
